title,owner,like,view,mid,bvid,url,author_href,author,following,follower,like_author,video_view,article_view
【歌势】邪 魅 猛 男 唱 燃 曲,范塞尼尔_VamSenior,11229,122874,2042629175,BV1tu411r7pU,https://www.bilibili.com/video/BV1tu411r7pU,https://space.bilibili.com/2042629175,范塞尼尔_VamSenior,21,27787,27679,248839,0
仿生爬行｜6个模仿小动物爬行动作，基础核心训练,子蔡cai,4417,55512,51189068,BV1sv4y1N7ov,https://www.bilibili.com/video/BV1sv4y1N7ov,https://space.bilibili.com/51189068,子蔡cai,1,17187,33379,609571,0
VLOG·为一周备餐/黑芝麻贝果·红茶贝果·红豆碱水棒·虾仁鲜肉包子/自制酸奶/自制天然酵母/烤翅妙招/小炒牛肉两人餐/初夏,Maybelle_,8766,162197,22017969,BV1ha411J7FS,https://www.bilibili.com/video/BV1ha411J7FS,https://space.bilibili.com/22017969,Maybelle_,142,549402,1475915,21870428,30743
下班啦，给我小侄子买点好东西！,王芳芳的快乐生活,18983,214584,1068501708,BV16a41177hn,https://www.bilibili.com/video/BV16a41177hn,https://space.bilibili.com/1068501708,王芳芳的快乐生活,17,384878,995476,23754597,0
【世界公认】史上公认最高效Java面试题集，拒绝无用功，P7都在偷偷用！最全最强Java八股文强烈推荐！学会面试，改写人生，颠覆你的认知，面试成功率提高300%,Java编程栈,1113,20922,76742799,BV1Ev4y1N7tn,https://www.bilibili.com/video/BV1Ev4y1N7tn,https://space.bilibili.com/76742799,Java编程栈,11,2932,46445,599397,679
下个星期去英国 - 陈绮贞 （cover）,桑桑万,1273,18195,34775496,BV19Y4y1876G,https://www.bilibili.com/video/BV19Y4y1876G,https://space.bilibili.com/34775496,桑桑万,281,46562,66441,1318167,0
【原神】T0水系五星行秋！夜兰角色详解和抽取建议来了！圣遗物~配队~武器推荐！规划原石必看！,自由大野猪,20905,240535,574115689,BV1Sv4y1A75e,https://www.bilibili.com/video/BV1Sv4y1A75e,https://space.bilibili.com/574115689,自由大野猪,37,764831,15978376,197969542,61916
最美中国字入驻B站演讲-《书写初心》送给每一位爱写字的中国人,最美中国字官方账号,6842,55364,1484942681,BV1Dt4y1x7h3,https://www.bilibili.com/video/BV1Dt4y1x7h3,https://space.bilibili.com/1484942681,最美中国字官方账号,5,2795,7825,67275,0
健身不练这 迟早要后悔！【居家无器械】,曼巴yelomamba,1342,35940,156858999,BV1bY4y157ve,https://www.bilibili.com/video/BV1bY4y157ve,https://space.bilibili.com/156858999,曼巴yelomamba,191,202028,548732,17840719,0
非常惨烈的比赛，画面太狠，胆小慎入！,硬核大胡子,5026,174096,363396431,BV1pY411A7vv,https://www.bilibili.com/video/BV1pY411A7vv,https://space.bilibili.com/363396431,硬核大胡子,118,25473,143573,6501255,1764
耳音 VS. 耳震,internet-boy,2827,43031,415403269,BV1qu41167KJ,https://www.bilibili.com/video/BV1qu41167KJ,https://space.bilibili.com/415403269,internet-boy,0,949874,43359237,689573350,10736
打羽毛球太累？多半是步伐节奏不对，掌握回位节奏让你变身高手,米不糖同学丶,3516,55079,520201391,BV1S54y1Z7ga,https://www.bilibili.com/video/BV1S54y1Z7ga,https://space.bilibili.com/520201391,米不糖同学丶,27,19619,35882,745527,0
【4k超宽屏】Sasha - The Baddest Remix 固定镜头版,幻想口袋喵w,10967,100547,2965629,BV1Nr4y187sT,https://www.bilibili.com/video/BV1Nr4y187sT,https://space.bilibili.com/2965629,幻想口袋喵w,223,30107,440402,1660883,21393
论 羽 生 结 弦 和 兰 亭 序 的 适 配 度,-嘻嘻耶耶-,8514,73940,1356832548,BV1cv4y1K7Ce,https://www.bilibili.com/video/BV1cv4y1K7Ce,https://space.bilibili.com/1356832548,-嘻嘻耶耶-,15,2141,101301,857813,0
2023王道数据结构课后算法题 - 032 - P40_18,王道论坛,1,16,95228778,BV1294y1U7LQ,https://www.bilibili.com/video/BV1294y1U7LQ,https://space.bilibili.com/95228778,王道论坛,2,284083,333880,19724391,0
【中文自制】泰森本人教学：热身和向内侧闪,cusdamato,2916,61094,645839131,BV1W3411A7jm,https://www.bilibili.com/video/BV1W3411A7jm,https://space.bilibili.com/645839131,cusdamato,7,4695,17207,440848,0
【这才是数学思维】学了这么多年数学，你有几种数学思维呢【高中数学奥赛】,是个世界记忆大师呢,3643,101814,23205828,BV1wr4y187kK,https://www.bilibili.com/video/BV1wr4y187kK,https://space.bilibili.com/23205828,是个世界记忆大师呢,49,8979,14581,380005,363
“我 的 最 佳 健 身 损 友”,够力胖,8569,138047,582276840,BV1Hr4y187Xv,https://www.bilibili.com/video/BV1Hr4y187Xv,https://space.bilibili.com/582276840,够力胖,93,67142,551697,8101029,0
正手发球，最容易被忽视的技术，好的发球让你一拍赢在起点,米不糖同学丶,5234,77662,520201391,BV1pB4y117J8,https://www.bilibili.com/video/BV1pB4y117J8,https://space.bilibili.com/520201391,米不糖同学丶,27,19619,35882,745527,0
在 miHoYo（米哈游）工作是一种怎样的体验？,阿一枪,74106,1301078,337067292,BV1TP4y1F7EF,https://www.bilibili.com/video/BV1TP4y1F7EF,https://space.bilibili.com/337067292,阿一枪,64,3577,107296,1641559,0
【高中生必看】大考前如何靠A4纸逆袭班级前三？神级A4纸复习法！考前如何有效突击复习？？,千千与生,3447,35238,2141371592,BV16F411j7Hj,https://www.bilibili.com/video/BV16F411j7Hj,https://space.bilibili.com/2141371592,千千与生,2,36380,83230,1055188,0
学剪辑只为女友健身之2022年5月16日辰亦儒纯练自用直播回放录屏自制,为女友学剪辑,625,45192,420495529,BV1pY4y157tN,https://www.bilibili.com/video/BV1pY4y157tN,https://space.bilibili.com/420495529,为女友学剪辑,131,7729,4522,278524,1091
【短道X花滑】《改革春风吹满地》,欻欻chuaaa,5988,51554,1012612708,BV1vY411A7pi,https://www.bilibili.com/video/BV1vY411A7pi,https://space.bilibili.com/1012612708,欻欻chuaaa,0,184,19385,237595,0
阿尼亚太可爱了！霸道总裁次子心动了~~~,dito米库,175463,2503978,1930838549,BV1Nu41167VA,https://www.bilibili.com/video/BV1Nu41167VA,https://space.bilibili.com/1930838549,dito米库,6,1857,403267,8547556,0
